,site.latitude (deg),site.longitude (deg),dri_grid_feedstock.price (USD/MW/h),hydrogen_feedstock.price (USD/kg),finance_subgroup_sponge_iron.LCOS (USD/kg)
0,39.179,-94.644,58.24602573,7.819127689,0.7850112572903336
1,40.639,-94.179,51.41859144,6.486845574,0.7039548783993137
2,42.135,-74.231,54.87195632,9.087358988,0.8611145933067907
3,39.836,-86.466,54.08137179,7.389792328,0.7586802397697303
4,44.836,-72.268,79.67190898,11.19138114,0.9906233427596457
5,43.297,-83.034,54.46538588,7.030717938,0.7370719861716352
6,41.522,-97.383,48.48607904,6.892715924,0.7281119355480926
7,43.745,-75.672,50.22448696,7.602515656,0.7710931829912547
8,40.915,-93.153,50.25523396,6.52284299,0.7060007884990818
9,45.619,-97.165,48.01464159,6.479866149,0.7031699430936669
10,38.376,-93.262,57.32420626,8.084316033,0.8009013974875046
11,38.785,-86.901,58.74660238,8.268727655,0.8121721113901094
12,38.792,-95.074,48.66910731,6.576432804,0.709062155450073
13,40.062,-96.921,44.62706297,6.200145885,0.6859426534463887
14,42.581,-74.531,50.90152862,7.3545067,0.7562126387305075
15,38.181,-90.2,61.38834601,8.610442044,0.8330573698615393
16,40.223,-92.752,53.7541996,6.87663279,0.7277057981002071
17,42.086,-89.986,53.37882952,6.524971783,0.7064632788366598
18,40.62,-89.979,55.65806989,6.908352618,0.7298219148197476
19,40.636,-76.972,72.45617197,10.64305592,0.9567917979938928
20,42.951,-86.133,57.35833333,7.43043708,0.7614813424707001
21,39.202,-87.27,58.58810594,8.045451544,0.7986933809867535
22,38.203,-77.393,62.42842963,9.521704146,0.8881104955773061
23,43.868,-95.759,47.11402471,6.460728066,0.7019197268679676
24,42.812,-85.552,56.82341805,7.716463431,0.7786692373106268
25,38.52,-87.36,58.5870948,8.369258517,0.8182162605983876
26,42.11,-97.1,45.42147075,6.29428234,0.6917033141021529
27,38.254,-89.635,56.84951183,7.714561563,0.7785573611162163
28,44.643,-83.831,61.33378629,8.702613374,0.8386087323173295
29,44.928,-94.048,52.33871303,7.085928629,0.7401732551675103
30,44.638,-97.764,48.19730942,7.497728876,0.7645585190222363
31,45.4,-93.094,56.28973232,7.594526158,0.771260298485007
32,42.872,-78.108,52.58970512,8.079507383,0.8001050093292261
33,42.664,-77.255,55.44160432,8.457847794,0.8232210069431882
34,38.894,-83.34,60.22555006,9.13484917,0.864550565054184
35,41.968,-75.805,59.60083702,8.59590163,0.8319894828546469
36,39.168,-93.795,53.07708032,7.103576468,0.7413162651611664
37,44.997,-89.535,56.21071969,7.077430089,0.7400750616962403
38,42.003,-97.985,46.90393923,6.553646022,0.7074994678501777
39,40.301,-83.642,52.54980459,7.387797164,0.7583961105780014
40,42.211,-96.508,47.72590301,6.594923107,0.710076076224372
41,41.913,-94.733,48.41150834,6.364914313,0.696281714801362
42,40.119,-76.833,63.20207239,9.408568091,0.8813720493906766
43,46.295,-97.814,50.4352344,6.861520616,0.726439613726291
44,41.415,-84.014,57.72454279,7.748746212,0.7807120287164648
45,40.169,-88.725,55.9963289,6.822567835,0.7246859586288446
46,41.603,-93.416,50.76824359,6.498809353,0.7046066294238849
47,44.258,-96.218,48.08888229,6.484302926,0.7034453872616688
48,42.783,-75.227,58.89441507,8.518178578,0.8272278321191734
49,43.47,-94.398,48.64393387,6.650122757,0.7135023812546356
50,46.891,-96.389,52.22032516,7.525073042,0.766637509872637
51,44.308,-85.91,58.17542757,6.947540066,0.7324538964072795
52,42.469,-73.805,70.30200869,10.48294073,0.9469076864226738
53,38.72,-77.532,67.57701181,10.59481219,0.9533611449704894
54,46.819,-91.258,65.65937746,8.981078822,0.8558607087398052
55,39.284,-88.681,54.93068491,7.231633641,0.7492353812862462
56,40.095,-74.638,57.41269903,8.39533146,0.8196626230265494
57,39.765,-83.169,60.6389907,8.920491025,0.8516706990895393
58,43.478,-90.607,54.7934753,6.656543983,0.7145473663310236
59,40.846,-95.916,49.00242728,6.357131627,0.6958756931639928
60,41.48,-92.247,51.31129381,6.47246505,0.7030763690860184
61,46.557,-92.397,65.61020315,8.920584641,0.8522081299272586
62,42.796,-96.513,46.88752754,6.663217889,0.7141040252540997
63,41.196,-84.939,56.18609974,7.304981003,0.753791940209127
64,41.301,-89.914,52.27357502,6.557154344,0.7082853989516859
65,38.735,-89.447,56.67704606,7.716713398,0.7786686504537355
66,44.564,-90.973,54.16784025,6.995728955,0.7349305990793527
67,43.399,-84.233,56.52538901,7.342584936,0.7560954534612525
68,40.403,-92.166,51.16250247,6.74221526,0.7193242468559962
69,38.862,-93.101,52.61488688,6.996040576,0.7347832629480767
70,41.717,-88.398,58.02462706,7.10284254,0.7418012700736446
71,44.056,-72.423,57.60315341,9.361197001,0.877917014717084
72,45.586,-87.582,57.64037358,7.851745274,0.786913049961754
73,44.721,-93.281,54.55981386,7.286968665,0.7525319703228306
74,40.227,-85.106,55.34456603,7.546306027,0.7682519002330839
75,41.763,-76.475,62.14805368,8.711817509,0.839250773323382
76,42.45,-92.039,50.89051651,6.617038851,0.7117480087285268
77,44.037,-76.354,52.30808721,7.855595437,0.7865747724286725
78,46.887,-94.784,55.19318723,7.119884185,0.7425258576706176
79,41.138,-95.478,50.99325709,6.431124144,0.7005498195060789
80,39.732,-78.404,69.22754364,11.19056578,0.9894569157779314
81,39.719,-84.904,56.02114788,8.079337839,0.8004618596084606
82,44.144,-86.399,54.58691417,6.837009571,0.7254059109546818
83,42.875,-88.104,54.75903184,7.161985723,0.7450178029148113
84,40.064,-81.224,59.84133196,8.827448556,0.8459756493321012
85,43.156,-73.707,80.94288555,11.47455377,1.007832362938527
86,43.033,-74.216,74.01588852,10.24146903,0.9327461470761391
87,41.233,-96.938,44.8074436,6.303142878,0.6921718496920193
88,38.794,-95.637,46.52550588,6.614472671,0.7111263492790975
89,41.927,-73.545,53.6741379,8.075798189,0.7999973796528768
90,39.255,-82.984,63.20230992,9.277783207,0.8734867854004285
91,39.637,-92.782,54.3036301,6.871183342,0.7274360140248894
92,42.26,-72.505,72.50926875,10.75063221,0.9632834735038391
93,38.14,-78.404,77.87765954,11.19263996,0.9905073029878814
94,43.142,-77.107,59.42168394,9.258997754,0.8719497461534845
95,43.693,-91.197,60.1929438,7.901418862,0.7901810292755851
96,43.741,-93.021,49.05224406,6.438050174,0.700759767698814
97,45.056,-91.087,57.28220041,7.782807024,0.7827183062789467
98,45.429,-90.586,60.36112161,7.975822338,0.794684958251147
99,40.462,-76.435,72.20604536,11.18261167,0.9892959660215304
100,39.384,-78.788,69.72767851,10.89852,0.9719023766224579
101,39.28,-75.199,56.46399806,8.329471452,0.8155903022269494
102,43.282,-96.668,50.70693151,7.166731574,0.7448704738576786
103,38.31,-81.476,65.7838273,10.95258698,0.974740299535596
104,42.308,-75.389,70.43238095,10.00672665,0.9182097073301398
105,38.09,-93.692,55.16553143,7.889404346,0.7889188509955136
