case,year,gea_region,mean_price_$/MWh,min_price_$/MWh,max_price_$/MWh,std_price_$/MWh,lcoe_$/MWh,spread_$/MWh,npv_$B,viable
HighDemand,2030,CAISO,59.75324200913242,18.1,1718.7,138.0772055176136,199.92925602570676,-140.17601401657436,-2.946678141855977,False
HighDemand,2030,ERCOT,45.615034246575334,18.6,1263.3,98.44793391900716,199.92925602570676,-154.31422177913143,-3.4127518428432007,False
HighDemand,2030,FRCC,58.793150684931504,33.8,1462.9,112.15221495085902,199.92925602570676,-141.13610534077526,-2.9783280740306286,False
HighDemand,2030,ISONE,37.7745205479452,20.9,196.8,22.999497892539708,199.92925602570676,-162.15473547776156,-3.671218637116752,False
HighDemand,2030,MISO Central,48.025627853881275,25.0,586.1,64.5491516878732,199.92925602570676,-151.9036281718255,-3.3332853147653867,False
HighDemand,2030,MISO North,46.63712328767124,18.1,388.5,53.98318496391088,199.92925602570676,-153.29213273803552,-3.3790581222442118,False
HighDemand,2030,MISO South,50.876575342465756,30.1,486.5,56.99350322790773,199.92925602570676,-149.05268068324102,-3.239302281721849,False
HighDemand,2030,Northern Grid East,39.50728310502283,16.1,593.5,62.433840760204205,199.92925602570676,-160.42197292068394,-3.614097177913977,False
HighDemand,2030,Northern Grid South,46.541609589041094,15.3,1023.0,91.31573711648021,199.92925602570676,-153.38764643666568,-3.382206783217595,False
HighDemand,2030,Northern Grid West,38.136997716894975,7.3,570.4,55.57480905695394,199.92925602570676,-161.7922583088118,-3.6592693802878062,False
HighDemand,2030,NYISO,54.73623287671233,40.7,188.6,17.789239473904544,199.92925602570676,-145.19302314899443,-3.11206657393337,False
HighDemand,2030,PJM East,54.504326484018264,28.8,851.3,86.10268707856402,199.92925602570676,-145.4249295416885,-3.1197114941764976,False
HighDemand,2030,PJM West,50.420719178082194,16.2,602.9,90.10897203532843,199.92925602570676,-149.50853684762455,-3.2543298278734025,False
HighDemand,2030,SERTP,56.681940639269406,30.9,1355.9,113.6877138029871,199.92925602570676,-143.24731538643735,-3.0479252603266924,False
HighDemand,2030,SPP North,30.15294520547945,10.6,153.2,19.08198283594594,199.92925602570676,-169.7763108202273,-3.92246800951765,False
HighDemand,2030,SPP South,31.306575342465752,11.8,121.0,18.457329109618268,199.92925602570676,-168.62268068324101,-3.8844379652188565,False
HighDemand,2030,West Connect North,34.90144977168949,19.2,225.8,21.817408144105304,199.92925602570676,-165.02780625401726,-3.7659309763592153,False
HighDemand,2030,West Connect South,46.11440639269406,18.0,1123.8,93.05670195508338,199.92925602570676,-153.8148496330127,-3.3962897687090337,False
HighNG,2030,CAISO,62.64808219178084,18.0,1663.8,133.90262283732423,199.92925602570676,-137.28117383392592,-2.8512481623032193,False
HighNG,2030,ERCOT,46.64503424657534,18.4,1146.9,91.71277720546115,199.92925602570676,-153.28422177913143,-3.3787973331854637,False
HighNG,2030,FRCC,63.17956621004567,33.5,1584.9,121.93494919786076,199.92925602570676,-136.7496898156611,-2.8337275028555435,False
HighNG,2030,ISONE,41.8308105022831,23.8,212.4,24.30025230116271,199.92925602570676,-158.09844552342366,-3.5375008347583545,False
HighNG,2030,MISO Central,51.8691095890411,26.7,701.5,70.58405294257886,199.92925602570676,-148.06014643666566,-3.2065828509830356,False
HighNG,2030,MISO North,49.90872146118721,17.4,328.5,53.139208208725414,199.92925602570676,-150.02053456451955,-3.2712081108084035,False
HighNG,2030,MISO South,55.41147260273973,27.6,567.5,66.31993174521433,199.92925602570676,-144.51778342296703,-3.089806929468627,False
HighNG,2030,Northern Grid East,41.790570776255706,15.6,652.4,69.23088868142182,199.92925602570676,-158.13868524945104,-3.538827359191387,False
HighNG,2030,Northern Grid South,50.8032305936073,15.0,1135.3,100.7814277203554,199.92925602570676,-149.12602543209945,-3.241720131220353,False
HighNG,2030,Northern Grid West,40.92357305936073,9.7,554.8,58.313859856714146,199.92925602570676,-159.00568296634603,-3.567408410018132,False
HighNG,2030,NYISO,53.33763698630136,37.4,186.6,18.199952835899097,199.92925602570676,-146.5916190394054,-3.1581720473976715,False
HighNG,2030,PJM East,53.60811643835616,31.3,722.4,71.05928293314493,199.92925602570676,-146.32113958735061,-3.1492555452937747,False
HighNG,2030,PJM West,48.40513698630137,17.6,501.8,73.32059609353237,199.92925602570676,-151.52411903940538,-3.3207745900062036,False
HighNG,2030,SERTP,59.08705479452055,31.4,1296.7,111.2996738067964,199.92925602570676,-140.8422012311862,-2.9686393653631615,False
HighNG,2030,SPP North,30.23816210045662,9.7,155.4,19.4833109487642,199.92925602570676,-169.69109392525013,-3.919658788271528,False
HighNG,2030,SPP South,35.239212328767124,11.8,178.7,27.37342481147097,199.92925602570676,-164.69004369693965,-3.754796450139493,False
HighNG,2030,West Connect North,33.977648401826485,19.0,158.6,15.987308120944071,199.92925602570676,-165.95160762388028,-3.796384590470715,False
HighNG,2030,West Connect South,49.48747716894977,17.4,1181.8,98.99828846143178,199.92925602570676,-150.441778856757,-3.2850946577880564,False
HighRE,2030,CAISO,60.385034246575344,16.9,1782.4,142.84826624730817,199.92925602570676,-139.54422177913142,-2.9258507674599192,False
HighRE,2030,ERCOT,47.222739726027406,17.2,1347.2,108.67941333319867,199.92925602570676,-152.70651629967935,-3.3597529581549956,False
HighRE,2030,FRCC,58.703949771689494,32.5,1537.1,121.67249407918592,199.92925602570676,-141.22530625401726,-2.981268630603594,False
HighRE,2030,ISONE,37.64865296803652,21.7,202.0,23.117393736376812,199.92925602570676,-162.28060305767025,-3.675367930279475,False
HighRE,2030,MISO Central,52.91947488584475,25.9,792.9,86.14753560105602,199.92925602570676,-147.009781139862,-3.1719569882505394,False
HighRE,2030,MISO North,52.01908675799086,19.1,401.7,62.78004171692445,199.92925602570676,-147.9101692677159,-3.2016387721174584,False
