gea_region,mean_price_$/MWh,min_price_$/MWh,max_price_$/MWh,std_price_$/MWh,lcoe_$/MWh,spread_$/MWh,npv_$B,viable
CAISO,56.46825342465754,12.0,1684.2,136.40714558895266,199.92925602570676,-143.46100260104922,-3.0549695754648214,False
FRCC,55.57987442922374,28.4,1456.8,112.5037562751201,199.92925602570676,-144.34938159648303,-3.0842554717562667,False
SERTP,53.986746575342465,27.3,1283.9,110.16576971253761,199.92925602570676,-145.9425094503643,-3.1367737970966765,False
NYISO,53.050388127853886,33.3,292.3,32.13725224073329,199.92925602570676,-146.87886789785287,-3.1676413620950785,False
PJM East,52.32256849315068,25.9,909.0,86.91102592811644,199.92925602570676,-147.60668753255607,-3.191634331818982,False
PJM West,48.65868721461187,14.7,689.3,90.54454528153568,199.92925602570676,-151.2705688110949,-3.3124161689616507,False
MISO South,47.895890410958906,24.3,565.4,60.91121946429294,199.92925602570676,-152.03336561474785,-3.3375621800650737,False
MISO Central,46.490022831050226,21.8,560.3,60.61827750045993,199.92925602570676,-153.43923319465654,-3.3839073687247905,False
MISO North,44.68243150684931,15.1,330.3,51.09696113059796,199.92925602570676,-155.24682451885747,-3.44349559889452,False
Northern Grid South,44.4198401826484,10.8,1060.7,93.88240040799528,199.92925602570676,-155.50941584305838,-3.452152064577645,False
West Connect South,43.428470319634705,11.1,1113.3,93.18038833010718,199.92925602570676,-156.50078570607207,-3.484833110779672,False
ERCOT,42.53058219178082,13.8,1166.7,93.09907507855796,199.92925602570676,-157.39867383392595,-3.514432480788199,False
ISONE,38.98517123287671,18.8,311.5,34.32374117414734,199.92925602570676,-160.94408479283004,-3.6313088794724284,False
Northern Grid East,37.534132420091325,12.9,528.9,59.246571018445046,199.92925602570676,-162.39512360561542,-3.6791431623680335,False
Northern Grid West,37.35815068493151,6.2,477.9,53.50729269849578,199.92925602570676,-162.57110534077526,-3.6849444958884887,False
West Connect North,35.089155251141555,14.7,205.7,26.43269433637076,199.92925602570676,-164.8401007745652,-3.7597431632379865,False
SPP North,32.05689497716895,9.0,165.0,24.23070630952339,199.92925602570676,-167.8723610485378,-3.85970327076942,False
SPP South,29.435947488584475,10.7,160.9,20.255797496205577,199.92925602570676,-170.4933085371223,-3.9461042288408406,False
