Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3971744,-,b'Western Australia',b'Australia',-28.46,114.55,8,83,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,0,21.400000000000002,0.62,0.0898,0.71,0,0,0,1,19.200000000000003,0,0,0,0,0.264,87.05,128.16,0.2,1006,1.8,191,4.9
2020,1,1,1,0,21.3,0.63,0.0896,0.71,0,0,0,1,19.1,0,0,0,0,0.264,87.17,127.84,0.2,1005,1.9000000000000001,191,4.7
2020,1,1,2,0,21.200000000000003,0.63,0.08940000000000001,0.71,0,0,0,1,19,0,0,0,0,0.264,87.36,123.67,0.2,1005,1.9000000000000001,190,4.5
2020,1,1,3,0,21,0.65,0.0891,0.71,0,0,0,1,18.900000000000002,0,0,0,0,0.264,88.01,116.43,0.2,1005,1.9000000000000001,188,4.2
2020,1,1,4,0,20.900000000000002,0.66,0.0883,0.71,0,0,0,1,18.900000000000002,0,0,0,0,0.265,88.19,107.02,0.2,1005,1.8,186,3.8000000000000003
2020,1,1,5,0,20.900000000000002,0.66,0.0876,0.71,0,0,0,1,18.8,0,0,0,0,0.265,88.06,96.18,0.2,1006,1.8,184,3.5
2020,1,1,6,0,21.6,0.67,0.08600000000000001,0.71,36,301,66,1,18.8,36,301,0,66,0.266,83.92,84.27,0.2,1006,1.7000000000000002,183,3.7
2020,1,1,7,0,22.6,0.7000000000000001,0.0826,0.71,74,673,282,0,18.5,74,673,0,282,0.266,77.89,71.98,0.2,1007,1.6,184,3.5
2020,1,1,8,0,23.8,0.88,0.0988,0.7000000000000001,100,808,514,0,16.400000000000002,100,808,0,514,0.261,63.46,59.120000000000005,0.22,1008,1.9000000000000001,165,7.6000000000000005
2020,1,1,9,0,25.200000000000003,0.88,0.09970000000000001,0.7000000000000001,116,893,736,0,16.400000000000002,116,893,0,736,0.261,58.19,46.1,0.22,1008,1.9000000000000001,171,7.4
2020,1,1,10,0,26.3,0.85,0.101,0.7000000000000001,128,942,919,0,16.6,128,942,0,919,0.26,55.31,32.94,0.22,1007,1.9000000000000001,177,7.300000000000001
2020,1,1,11,0,27,0.8200000000000001,0.126,0.7000000000000001,150,950,1043,0,16.8,150,950,0,1043,0.26,53.77,19.84,0.22,1007,1.9000000000000001,183,7.300000000000001
2020,1,1,12,0,27.1,0.78,0.12560000000000002,0.7000000000000001,153,963,1108,0,17.1,153,963,0,1108,0.26,54.25,7.8,0.22,1006,1.9000000000000001,188,7.5
2020,1,1,13,0,26.700000000000003,0.75,0.1223,0.7000000000000001,152,964,1102,0,17.400000000000002,152,964,0,1102,0.261,56.84,9.56,0.22,1006,1.9000000000000001,191,7.800000000000001
2020,1,1,14,0,26.1,0.79,0.0964,0.7000000000000001,132,970,1032,0,17.6,132,970,0,1032,0.261,59.65,22.02,0.22,1006,1.9000000000000001,193,8
2020,1,1,15,0,25.400000000000002,0.76,0.096,0.7000000000000001,126,939,893,0,17.7,126,939,0,893,0.261,62.440000000000005,35.160000000000004,0.22,1006,1.9000000000000001,194,8.3
2020,1,1,16,0,24.6,0.73,0.0974,0.7000000000000001,115,882,702,0,17.8,115,882,1,702,0.261,65.79,48.300000000000004,0.22,1006,1.9000000000000001,193,8.700000000000001
2020,1,1,17,0,23.700000000000003,0.73,0.09670000000000001,0.7000000000000001,98,789,477,0,17.8,98,789,0,477,0.261,69.5,61.300000000000004,0.22,1006,1.8,191,8.9
2020,1,1,18,0,22.8,0.74,0.0937,0.7000000000000001,72,612,241,0,17.7,72,612,0,241,0.261,73.06,74,0.22,1007,1.8,189,8.9
2020,1,1,19,0,22,0.75,0.09380000000000001,0.7000000000000001,27,196,40,0,17.7,27,196,0,40,0.262,76.7,86.16,0.22,1007,1.8,187,8.8
2020,1,1,20,0,21.6,0.77,0.09630000000000001,0.7000000000000001,0,0,0,0,17.7,0,0,0,0,0.262,78.39,98,0.22,1008,1.8,185,8.700000000000001
2020,1,1,21,0,21.200000000000003,0.78,0.09620000000000001,0.7000000000000001,0,0,0,0,17.6,0,0,0,0,0.262,79.76,108.65,0.22,1008,1.8,183,8.4
2020,1,1,22,0,21,0.77,0.094,0.7000000000000001,0,0,0,0,17.5,0,0,0,0,0.262,80.41,117.77,0.22,1008,1.8,182,8.1
2020,1,1,23,0,20.8,0.77,0.0925,0.7000000000000001,0,0,0,1,17.5,0,0,0,0,0.263,81.56,124.59,0.22,1008,1.8,181,7.7
2020,1,2,0,0,20.6,0.76,0.09340000000000001,0.7000000000000001,0,0,0,1,17.6,0,0,0,0,0.263,82.75,128.18,0.22,1008,1.9000000000000001,181,7.4
2020,1,2,1,0,20.5,0.74,0.0965,0.7000000000000001,0,0,0,1,17.6,0,0,0,0,0.263,83.31,127.86,0.22,1007,2,183,7.300000000000001
2020,1,2,2,0,20.400000000000002,0.6900000000000001,0.1014,0.7000000000000001,0,0,0,3,17.6,0,0,0,0,0.263,83.71000000000001,123.7,0.22,1007,2,183,7.5
2020,1,2,3,0,20.3,0.66,0.10600000000000001,0.7000000000000001,0,0,0,1,17.6,0,0,0,0,0.263,84.56,116.46000000000001,0.22,1008,2,181,7.5
2020,1,2,4,0,20.3,0.66,0.10690000000000001,0.7000000000000001,0,0,0,1,17.6,0,0,0,0,0.263,84.57000000000001,107.05,0.22,1008,2.1,178,7.6000000000000005
2020,1,2,5,0,20.400000000000002,0.66,0.10840000000000001,0.7000000000000001,0,0,0,3,17.6,0,0,0,0,0.263,83.89,96.21000000000001,0.22,1009,2.2,176,7.4
2020,1,2,6,0,20.900000000000002,0.68,0.10840000000000001,0.7000000000000001,38,252,63,3,17.400000000000002,17,0,3,17,0.263,80.41,84.3,0.22,1009,2.2,178,7.6000000000000005
2020,1,2,7,0,21.700000000000003,0.73,0.10490000000000001,0.7000000000000001,80,620,271,1,17.1,80,620,0,271,0.262,75.13,72.01,0.22,1010,2.3000000000000003,182,7.6000000000000005
