latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-28.43585205078125,114.54545593261719,71.0,28800,Australia/Perth,GMT+8

time,wind_speed_10m (m/s),wind_direction_10m (deg),temperature_2m (C),surface_pressure (hPa),relative_humidity_2m (percent),shortwave_radiation (W/m**2),direct_normal_irradiance (W/m**2),diffuse_radiation (W/m**2),dew_point_2m (C),snow_depth (m),rain (mm),albedo (unitless),is_day (unitless)
2019-12-31 00:00:00+08:00,6.074537,159.77505,19.55,1007.42365,72.8591,0.0,0.0,0.0,14.55,0.0,0.0,,0.0
2019-12-31 01:00:00+08:00,5.5461698,154.35904,19.05,1007.0127,71.367386,0.0,0.0,0.0,13.75,0.0,0.0,,0.0
2019-12-31 02:00:00+08:00,4.8877397,149.23735,18.4,1006.5974,69.63456,0.0,0.0,0.0,12.75,0.0,0.0,,0.0
2019-12-31 03:00:00+08:00,4.494441,147.72438,17.8,1006.28253,68.38237,0.0,0.0,0.0,11.9,0.0,0.0,,0.0
2019-12-31 04:00:00+08:00,4.104875,145.92276,17.25,1006.06836,68.4975,0.0,0.0,0.0,11.4,0.0,0.0,,0.0
2019-12-31 05:00:00+08:00,4.022437,145.1246,16.85,1006.1561,69.330345,0.0,0.0,0.0,11.2,0.0,0.0,,0.0
2019-12-31 06:00:00+08:00,4.3011627,144.46223,17.05,1006.65765,68.23069,13.0,70.00389,8.0,11.15,0.0,0.0,,1.0
2019-12-31 07:00:00+08:00,4.802083,148.62704,18.95,1007.2081,60.549034,160.0,507.0814,55.0,11.15,0.0,0.0,,1.0
2019-12-31 08:00:00+08:00,4.9739323,149.82657,21.45,1006.98145,54.157265,387.0,735.04926,82.0,11.8,0.0,0.0,,1.0
2019-12-31 09:00:00+08:00,4.2953463,155.22488,24.45,1006.6681,42.9758,618.0,854.608,99.0,11.05,0.0,0.0,,1.0
2019-12-31 10:00:00+08:00,4.2296567,173.21112,27.05,1006.24316,35.631866,820.0,922.1351,109.0,10.55,0.0,0.0,,1.0
2019-12-31 11:00:00+08:00,5.6293874,192.308,28.0,1005.6735,38.2166,976.0,959.76794,117.0,12.45,0.0,0.0,,1.0
2019-12-31 12:00:00+08:00,7.083784,198.9466,26.95,1005.34766,49.84557,1071.0,977.5819,122.0,15.6,0.0,0.0,,1.0
2019-12-31 13:00:00+08:00,7.1470275,197.92801,26.8,1004.9467,47.156223,1096.0,979.72327,123.0,14.6,0.0,0.0,,1.0
2019-12-31 14:00:00+08:00,7.28011,195.94547,26.95,1004.55414,43.667736,1052.0,968.13934,122.0,13.55,0.0,0.0,,1.0
