latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-28.43585205078125,114.54545593261719,71.0,28800,Australia/Perth,GMT+8

time,wind_speed_10m (m/s),wind_direction_10m (deg),temperature_2m (C),surface_pressure (hPa),relative_humidity_2m (percent),shortwave_radiation (W/m**2),direct_normal_irradiance (W/m**2),diffuse_radiation (W/m**2),dew_point_2m (C),snow_depth (m),rain (mm),albedo (percent)
2023-12-30 16:00:00,2.7802877,232.3057,20.8,1005.47546,90.28737,0.0,0.0,0.0,19.15,0.0,0.0,
2023-12-30 17:00:00,2.86007,233.53067,20.85,1004.9811,90.01005,0.0,0.0,0.0,19.15,0.0,0.0,
2023-12-30 18:00:00,3.4409301,234.46223,20.75,1004.8791,90.002846,0.0,0.0,0.0,19.05,0.0,0.0,
2023-12-30 19:00:00,4.0360875,228.01286,20.55,1004.7743,90.26981,0.0,0.0,0.0,18.9,0.0,0.0,
2023-12-30 20:00:00,4.4598207,222.27362,20.75,1004.8791,88.60926,0.0,0.0,0.0,18.8,0.0,0.0,
2023-12-30 21:00:00,4.327817,220.31403,20.6,1005.07306,88.87449,0.0,0.0,0.0,18.7,0.0,0.0,
2023-12-30 22:00:00,4.4687805,220.46214,20.85,1005.77454,86.971245,12.0,42.034687,9.0,18.6,0.0,0.0,
2023-12-30 23:00:00,4.9819674,218.48022,22.2,1006.2092,78.337654,141.0,357.5579,67.0,18.25,0.0,0.0,
2023-12-31 00:00:00,4.816638,221.63345,23.45,1006.73987,70.15413,364.0,621.9316,106.0,17.7,0.0,0.0,
2023-12-31 01:00:00,5.0990195,221.82008,24.35,1007.1613,66.8793,491.0,477.5966,201.0,17.8,0.0,0.0,
2023-12-31 02:00:00,5.0931325,223.4089,25.15,1007.18335,62.170498,686.0,586.27783,234.0,17.4,0.0,0.0,
2023-12-31 03:00:00,5.4451814,224.25603,25.65,1007.1969,60.923904,844.0,649.19244,263.0,17.55,0.0,0.0,
2023-12-31 04:00:00,5.5865912,225.72514,26.0,1007.0084,60.240345,902.0,607.7862,312.0,17.7,0.0,0.0,
2023-12-31 05:00:00,5.8898215,229.82083,26.0,1006.4132,62.35997,963.0,668.5894,299.0,18.25,0.0,0.0,
2023-12-31 06:00:00,6.3031735,228.21558,26.05,1005.91846,62.76333,995.0,811.96967,215.0,18.4,0.0,0.0,
2023-12-31 07:00:00,6.529931,220.0302,25.9,1005.8152,62.337738,893.0,775.62744,214.0,18.15,0.0,0.0,
2023-12-31 08:00:00,6.4899926,213.6901,25.2,1005.3,65.39256,660.0,515.25995,277.0,18.25,0.0,0.0,
2023-12-31 09:00:00,6.400781,208.96756,24.45,1005.18024,67.5336,391.0,277.34073,232.0,18.05,0.0,0.0,
2023-12-31 10:00:00,6.2241464,203.6821,23.7,1005.4574,70.422295,297.0,469.5475,120.0,18.0,0.0,0.0,
2023-12-31 11:00:00,5.597321,198.75874,22.7,1005.9255,75.75499,105.0,310.16373,53.0,18.2,0.0,0.0,
2023-12-31 12:00:00,5.6320515,196.50444,22.05,1006.10565,80.05436,4.0,19.28935,3.0,18.45,0.0,0.0,
2023-12-31 13:00:00,5.491812,190.49142,21.45,1006.8823,82.52451,0.0,0.0,0.0,18.35,0.0,0.0,
2023-12-31 14:00:00,4.924429,192.90741,21.1,1007.0709,86.18267,0.0,0.0,0.0,18.7,0.0,0.0,
2023-12-31 15:00:00,4.554119,188.84174,20.7,1007.0595,88.32867,0.0,0.0,0.0,18.7,0.0,0.0,
2023-12-31 16:00:00,4.9162993,184.66678,20.85,1006.96466,86.15829,0.0,0.0,0.0,18.45,0.0,0.0,
2023-12-31 17:00:00,4.604346,182.4895,20.8,1006.26886,86.15338,0.0,0.0,0.0,18.4,0.0,0.0,
2023-12-31 18:00:00,4.7010636,178.78116,20.6,1005.86646,89.15273,0.0,0.0,0.0,18.75,0.0,0.0,
2023-12-31 19:00:00,4.7518415,171.52895,20.6,1005.569,89.992004,0.0,0.0,0.0,18.9,0.0,0.0,
2023-12-31 20:00:00,4.002499,167.00539,20.45,1005.26733,91.96863,0.0,0.0,0.0,19.1,0.0,0.0,
2023-12-31 21:00:00,3.2984846,165.96373,20.25,1005.36084,92.82157,0.0,0.0,0.0,19.05,0.0,0.0,
2023-12-31 22:00:00,3.710795,165.96373,20.5,1005.86365,92.25849,11.0,56.959167,7.0,19.2,0.0,0.0,
2023-12-31 23:00:00,4.2579336,170.53775,22.45,1006.2161,83.16008,147.0,429.9313,59.0,19.45,0.0,0.0,
2024-01-01 00:00:00,4.501111,178.727,24.35,1006.36774,73.235176,363.0,639.62103,99.0,19.25,0.0,0.0,
2024-01-01 01:00:00,4.8507733,188.29706,26.0,1006.51245,65.35576,596.0,809.3806,106.0,19.0,0.0,0.0,
2024-01-01 02:00:00,5.536244,200.07161,26.75,1006.53253,64.90528,798.0,895.34985,109.0,19.6,0.0,0.0,
2024-01-01 03:00:00,6.1717095,206.98015,27.3,1006.5474,62.06594,948.0,929.5777,117.0,19.4,0.0,0.0,
2024-01-01 04:00:00,7.068239,205.1148,27.7,1006.1613,55.37373,1039.0,945.17346,122.0,17.95,0.0,0.0,
2024-01-01 05:00:00,7.788453,195.6423,28.2,1005.8773,49.53985,1071.0,954.6353,123.0,16.65,0.0,0.0,
2024-01-01 06:00:00,8.354639,191.0409,28.35,1005.8815,46.223347,1037.0,953.20966,121.0,15.7,0.0,0.0,
2024-01-01 07:00:00,8.631338,190.00792,27.4,1005.6575,51.909107,936.0,934.806,117.0,16.65,0.0,0.0,
2024-01-01 08:00:00,8.881442,187.76508,25.9,1005.51764,62.533733,775.0,896.1642,108.0,18.2,0.0,0.0,
2024-01-01 09:00:00,8.620905,183.99083,24.75,1005.5852,67.593735,570.0,823.4165,97.0,18.35,0.0,0.0,
2024-01-01 10:00:00,8.20061,180.69868,23.65,1005.75336,70.63466,341.0,692.8665,79.0,18.0,0.0,0.0,
2024-01-01 11:00:00,8.009994,177.13765,22.25,1006.11127,74.73486,122.0,444.42383,47.0,17.55,0.0,0.0,
2024-01-01 12:00:00,7.4545293,173.06575,21.4,1006.2859,79.714745,4.0,19.095095,3.0,17.75,0.0,0.0,
2024-01-01 13:00:00,7.467262,172.30405,21.3,1006.5806,73.40047,0.0,0.0,0.0,16.35,0.0,0.0,
2024-01-01 14:00:00,7.2993145,170.53775,20.8,1006.7648,81.156166,0.0,0.0,0.0,17.45,0.0,0.0,
2024-01-01 15:00:00,6.726812,168.85715,20.4,1006.4558,84.77017,0.0,0.0,0.0,17.75,0.0,0.0,
2024-01-01 16:00:00,6.8249536,169.0194,20.2,1005.85516,85.01642,0.0,0.0,0.0,17.6,0.0,0.0,
2024-01-01 17:00:00,7.119691,169.47926,20.3,1005.3621,83.16997,0.0,0.0,0.0,17.35,0.0,0.0,
2024-01-01 18:00:00,7.0611615,167.73524,20.6,1005.17224,77.60865,0.0,0.0,0.0,16.55,0.0,0.0,
2024-01-01 19:00:00,6.9123073,165.76268,20.9,1004.88324,74.27285,0.0,0.0,0.0,16.15,0.0,0.0,
2024-01-01 20:00:00,6.5734315,166.80939,20.95,1004.7856,72.64034,0.0,0.0,0.0,15.85,0.0,0.0,
2024-01-01 21:00:00,6.236986,167.96942,20.95,1004.7856,72.40854,0.0,0.0,0.0,15.8,0.0,0.0,
2024-01-01 22:00:00,6.1,169.61119,21.1,1005.18646,74.54346,11.0,43.444176,8.0,16.4,0.0,0.0,
2024-01-01 23:00:00,6.661081,172.23492,22.65,1005.428,67.81438,140.0,400.28207,59.0,16.4,0.0,0.0,
2024-01-02 00:00:00,5.2630787,165.69969,24.1,1005.56757,59.228016,359.0,647.8158,93.0,15.65,0.0,0.0,
2024-01-02 01:00:00,5.345091,162.58194,24.75,1005.6844,50.2347,598.0,820.12994,103.0,13.7,0.0,0.0,
