latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-28.43585205078125,114.54545593261719,71.0,28800,Australia/Perth,GMT+8

time,wind_speed_10m (m/s),wind_speed_100m (m/s),wind_direction_10m (deg),wind_direction_100m (deg),temperature_2m (degC),surface_pressure (hPa),precipitation (mm/h),relative_humidity_2m (unitless),is_day (percent)
2023-12-30 16:00:00,2.7802877,4.763402,232.3057,230.9645,20.8,1005.47546,0.0,90.28737,0.0
2023-12-30 17:00:00,2.86007,4.7801676,233.53067,232.65057,20.85,1004.9811,0.0,90.01005,0.0
2023-12-30 18:00:00,3.4409301,5.7801385,234.46223,232.73352,20.75,1004.8791,0.0,90.002846,0.0
2023-12-30 19:00:00,4.0360875,6.652819,228.01286,227.43669,20.55,1004.7743,0.0,90.26981,0.0
2023-12-30 20:00:00,4.4598207,7.1505246,222.27362,222.16582,20.75,1004.8791,0.0,88.60926,0.0
2023-12-30 21:00:00,4.327817,7.029225,220.31403,219.80553,20.6,1005.07306,0.0,88.87449,0.0
2023-12-30 22:00:00,4.4687805,7.017834,220.46214,220.95541,20.85,1005.77454,0.0,86.971245,1.0
2023-12-30 23:00:00,4.9819674,6.4031243,218.48022,218.65984,22.2,1006.2092,0.0,78.337654,1.0
2023-12-31 00:00:00,4.816638,6.0207973,221.63345,221.63345,23.45,1006.73987,0.0,70.15413,1.0
2023-12-31 01:00:00,5.0990195,6.236986,221.82008,221.09941,24.35,1007.1613,0.0,66.8793,1.0
2023-12-31 02:00:00,5.0931325,6.296825,223.4089,223.06943,25.15,1007.18335,0.0,62.170498,1.0
2023-12-31 03:00:00,5.4451814,6.6483083,224.25603,223.7812,25.65,1007.1969,0.0,60.923904,1.0
2023-12-31 04:00:00,5.5865912,6.7178864,225.72514,225.60301,26.0,1007.0084,0.0,60.240345,1.0
2023-12-31 05:00:00,5.8898215,7.170077,229.82083,230.09216,26.0,1006.4132,0.0,62.35997,1.0
2023-12-31 06:00:00,6.3031735,7.7833157,228.21558,227.08257,26.05,1005.91846,0.0,62.76333,1.0
2023-12-31 07:00:00,6.529931,8.168843,220.0302,219.53612,25.9,1005.8152,0.0,62.337738,1.0
2023-12-31 08:00:00,6.4899926,8.237719,213.6901,213.11134,25.2,1005.3,0.0,65.39256,1.0
2023-12-31 09:00:00,6.400781,8.188406,208.96756,208.44283,24.45,1005.18024,0.0,67.5336,1.0
2023-12-31 10:00:00,6.2241464,8.023092,203.6821,202.72977,23.7,1005.4574,0.0,70.422295,1.0
2023-12-31 11:00:00,5.597321,7.4946647,198.75874,198.6768,22.7,1005.9255,0.0,75.75499,1.0
2023-12-31 12:00:00,5.6320515,7.788453,196.50444,195.6423,22.05,1006.10565,0.0,80.05436,0.0
2023-12-31 13:00:00,5.491812,7.7278714,190.49142,190.43742,21.45,1006.8823,0.0,82.52451,0.0
2023-12-31 14:00:00,4.924429,7.0611615,192.90741,192.26476,21.1,1007.0709,0.0,86.18267,0.0
2023-12-31 15:00:00,4.554119,7.071068,188.84174,188.13002,20.7,1007.0595,0.0,88.32867,0.0
2023-12-31 16:00:00,4.9162993,7.623647,184.66678,184.5139,20.85,1006.96466,0.0,86.15829,0.0
2023-12-31 17:00:00,4.604346,7.5059977,182.4895,182.29056,20.8,1006.26886,0.0,86.15338,0.0
2023-12-31 18:00:00,4.7010636,7.6006575,178.78116,179.24617,20.6,1005.86646,0.0,89.15273,0.0
2023-12-31 19:00:00,4.7518415,7.8638415,171.52895,172.69434,20.6,1005.569,0.0,89.992004,0.0
2023-12-31 20:00:00,4.002499,6.963476,167.00539,167.56046,20.45,1005.26733,0.0,91.96863,0.0
2023-12-31 21:00:00,3.2984846,6.139218,165.96373,167.77489,20.25,1005.36084,0.0,92.82157,0.0
2023-12-31 22:00:00,3.710795,6.5115285,165.96373,169.3804,20.5,1005.86365,0.0,92.25849,1.0
2023-12-31 23:00:00,4.2579336,5.67186,170.53775,170.8699,22.45,1006.2161,0.0,83.16008,1.0
2024-01-01 00:00:00,4.501111,5.707889,178.727,176.98727,24.35,1006.36774,0.0,73.235176,1.0
2024-01-01 01:00:00,4.8507733,6.0207973,188.29706,184.76355,26.0,1006.51245,0.0,65.35576,1.0
2024-01-01 02:00:00,5.536244,6.7720013,200.07161,196.29411,26.75,1006.53253,0.0,64.90528,1.0
2024-01-01 03:00:00,6.1717095,7.615773,206.98015,203.19861,27.3,1006.5474,0.0,62.06594,1.0
2024-01-01 04:00:00,7.068239,8.969392,205.1148,202.27594,27.7,1006.1613,0.0,55.37373,1.0
2024-01-01 05:00:00,7.788453,9.968951,195.6423,193.33926,28.2,1005.8773,0.0,49.53985,1.0
2024-01-01 06:00:00,8.354639,10.720075,191.0409,188.58354,28.35,1005.8815,0.0,46.223347,1.0
2024-01-01 07:00:00,8.631338,11.214723,190.00792,188.20227,27.4,1005.6575,0.0,51.909107,1.0
2024-01-01 08:00:00,8.881442,11.761377,187.76508,185.85593,25.9,1005.51764,0.0,62.533733,1.0
2024-01-01 09:00:00,8.620905,11.410959,183.99083,182.5113,24.75,1005.5852,0.0,67.593735,1.0
2024-01-01 10:00:00,8.20061,11.200446,180.69868,179.48845,23.65,1005.75336,0.0,70.63466,1.0
2024-01-01 11:00:00,8.009994,11.328283,177.13765,175.9505,22.25,1006.11127,0.0,74.73486,1.0
2024-01-01 12:00:00,7.4545293,11.002727,173.06575,172.16457,21.4,1006.2859,0.0,79.714745,0.0
2024-01-01 13:00:00,7.467262,11.130589,172.30405,171.21478,21.3,1006.5806,0.0,73.40047,0.0
2024-01-01 14:00:00,7.2993145,10.965857,170.53775,170.02235,20.8,1006.7648,0.0,81.156166,0.0
2024-01-01 15:00:00,6.726812,10.198039,168.85715,168.69011,20.4,1006.4558,0.0,84.77017,0.0
2024-01-01 16:00:00,6.8249536,10.296116,169.0194,168.79924,20.2,1005.85516,0.0,85.01642,0.0
2024-01-01 17:00:00,7.119691,10.787029,169.47926,169.31514,20.3,1005.3621,0.0,83.16997,0.0
2024-01-01 18:00:00,7.0611615,10.728001,167.73524,168.16638,20.6,1005.17224,0.0,77.60865,0.0
2024-01-01 19:00:00,6.9123073,10.5019045,165.76268,166.22838,20.9,1004.88324,0.0,74.27285,0.0
2024-01-01 20:00:00,6.5734315,10.06628,166.80939,166.79207,20.95,1004.7856,0.0,72.64034,0.0
2024-01-01 21:00:00,6.236986,9.806121,167.96942,168.23174,20.95,1004.7856,0.0,72.40854,0.0
2024-01-01 22:00:00,6.1,9.4541,169.61119,169.641,21.1,1005.18646,0.0,74.54346,1.0
2024-01-01 23:00:00,6.661081,8.994442,172.23492,171.6898,22.65,1005.428,0.0,67.81438,1.0
2024-01-02 00:00:00,5.2630787,6.6483083,165.69969,164.2913,24.1,1005.56757,0.0,59.228016,1.0
2024-01-02 01:00:00,5.345091,6.706713,162.58194,159.94382,24.75,1005.6844,0.0,50.2347,1.0
2024-01-02 02:00:00,6.1008196,7.632169,179.06084,174.7377,26.25,1005.3286,0.0,44.48039,1.0
2024-01-02 03:00:00,7.668768,9.617692,192.04256,188.97255,26.1,1004.9278,0.0,48.67024,1.0
2024-01-02 04:00:00,9.289241,11.86634,194.33546,192.16219,25.45,1004.51337,0.0,52.915802,1.0
2024-01-02 05:00:00,9.241753,11.747766,193.13403,191.78816,25.6,1003.92236,0.0,51.44401,1.0
2024-01-02 06:00:00,8.876937,11.280514,194.34937,192.80426,25.85,1003.8301,0.0,51.343594,1.0
2024-01-02 07:00:00,9.178235,11.968291,191.30989,189.61966,25.15,1003.41406,0.0,55.269012,1.0
2024-01-02 08:00:00,8.657945,11.253888,186.63242,185.60918,24.85,1002.71155,0.0,56.80942,1.0
2024-01-02 09:00:00,8.5,11.175867,188.79733,186.6798,24.5,1002.3054,0.0,62.22186,1.0
2024-01-02 10:00:00,7.8638415,10.557462,187.30566,185.9805,24.0,1002.29156,0.0,66.17789,1.0
2024-01-02 11:00:00,6.6910386,9.390421,189.46225,187.95743,23.15,1002.3671,0.0,72.34181,1.0
2024-01-02 12:00:00,5.8008623,9.213577,180.98773,176.88922,23.05,1002.2655,0.0,76.04839,0.0
2024-01-02 13:00:00,7.692204,12.020815,164.15686,163.0724,23.3,1002.47076,0.0,69.90495,0.0
2024-01-02 14:00:00,7.17844,11.194642,161.31256,161.24126,22.95,1002.8577,0.0,71.62567,0.0
2024-01-02 15:00:00,6.4257298,10.733592,159.02643,158.69415,22.8,1002.7544,0.0,73.89084,0.0
2024-01-02 16:00:00,5.5036354,10.1965685,155.29759,153.18373,23.1,1002.465,0.0,63.919964,0.0
2024-01-02 17:00:00,5.920304,10.615084,142.54935,137.29063,24.15,1002.09717,0.0,44.93044,0.0
2024-01-02 18:00:00,6.6483083,10.9877205,133.7812,130.94055,24.35,1002.20184,0.0,46.79939,0.0
2024-01-02 19:00:00,6.529931,11.0435505,130.0302,125.41714,23.9,1002.3879,0.0,49.359287,0.0
2024-01-02 20:00:00,6.6030297,11.1139555,125.13428,120.256355,23.65,1002.6786,0.0,50.271786,0.0
2024-01-02 21:00:00,6.9771056,11.555085,117.29949,113.459045,23.25,1003.0643,0.0,52.00758,0.0
2024-01-02 22:00:00,7.2449985,11.609049,110.1859,107.03024,22.8,1003.8454,0.0,54.85789,1.0
2024-01-02 23:00:00,7.955501,11.454257,104.56032,102.09474,23.85,1004.3703,0.0,52.84682,1.0
2024-01-03 00:00:00,8.386298,11.584905,98.22664,96.94089,25.4,1004.7106,0.0,48.326183,1.0
2024-01-03 01:00:00,7.746612,10.340696,101.16484,99.46225,27.6,1004.7701,0.0,42.447083,1.0
2024-01-03 02:00:00,7.6118326,9.914131,99.8335,98.70214,29.6,1004.62506,0.0,36.46427,1.0
2024-01-03 03:00:00,7.236712,9.338094,101.154625,99.865746,31.55,1004.27985,0.0,31.154144,1.0
2024-01-03 04:00:00,6.9857,8.962701,103.24053,100.93378,33.3,1003.3331,0.0,26.336803,1.0
2024-01-03 05:00:00,6.332456,8.149233,111.297424,104.2068,34.6,1002.573,0.0,22.53952,1.0
2024-01-03 06:00:00,5.0931325,6.6850576,133.4089,124.641014,34.85,1001.98413,0.0,20.370222,1.0
2024-01-03 07:00:00,4.837354,6.8242216,150.2552,145.14548,35.0,1001.39246,0.0,19.463575,1.0
2024-01-03 08:00:00,6.2968245,8.683317,169.93938,165.32356,33.9,1000.86816,0.0,22.588383,1.0
2024-01-03 09:00:00,7.3437047,10.983624,173.74606,169.50858,31.4,1000.9027,0.0,39.790394,1.0
2024-01-03 10:00:00,6.926038,11.217843,175.03035,168.69011,29.7,1001.15564,0.0,53.48665,1.0
2024-01-03 11:00:00,5.6885853,9.425497,169.8754,162.71841,28.7,1001.5258,0.0,56.49291,1.0
2024-01-03 12:00:00,5.3,8.627862,148.10925,135.9391,29.45,1002.04193,0.0,37.875324,0.0
2024-01-03 13:00:00,6.9999995,11.371895,126.86999,124.24909,30.55,1002.4677,0.0,19.657352,0.0
2024-01-03 14:00:00,6.6603303,10.621204,131.34769,127.733116,29.35,1003.1304,0.0,21.061085,0.0
2024-01-03 15:00:00,7.340981,11.676472,127.806595,123.8262,28.15,1003.3961,0.0,22.975538,0.0
2024-01-03 16:00:00,8.450444,13.218926,110.79419,108.983315,27.35,1003.3747,0.0,26.432938,0.0
2024-01-03 17:00:00,8.316851,13.160547,108.217186,106.78272,26.4,1003.34894,0.0,29.428024,0.0
2024-01-03 18:00:00,8.420215,13.218548,105.852,104.456795,25.6,1003.5256,0.0,30.854763,0.0
2024-01-03 19:00:00,8.041144,12.872451,100.750916,99.38908,24.75,1004.09735,0.0,32.567825,0.0
2024-01-03 20:00:00,8.075271,12.788276,97.82899,96.73592,24.0,1004.4737,0.0,35.00775,0.0
2024-01-03 21:00:00,8.130191,12.824976,94.93913,93.57626,23.35,1005.05084,0.0,38.179874,0.0
2024-01-03 22:00:00,8.030566,12.514392,95.00056,92.74803,23.0,1005.7353,0.0,40.338253,1.0
2024-01-03 23:00:00,9.313432,13.405969,93.07739,91.70978,24.05,1006.2604,0.0,39.42616,1.0
2024-01-04 00:00:00,10.301942,14.308739,88.887634,87.99751,25.1,1006.38855,0.0,37.90643,1.0
2024-01-04 01:00:00,9.319335,12.514392,93.691315,92.74803,27.7,1005.36774,0.0,32.40634,1.0
2024-01-04 02:00:00,9.202173,12.20041,91.24534,90.46962,29.5,1005.01917,0.0,28.608877,1.0
2024-01-04 03:00:00,8.602325,11.200446,91.33219,90.51155,31.55,1004.27985,0.0,24.105291,1.0
2024-01-04 04:00:00,7.7103825,9.904544,92.97367,91.73567,33.4,1003.7325,0.0,20.70858,1.0
2024-01-04 05:00:00,6.8183575,8.70919,94.205284,92.632385,34.85,1003.07544,0.0,18.460146,1.0
2024-01-04 06:00:00,5.80517,7.5538073,100.92277,96.84268,35.9,1002.5069,0.0,16.833527,1.0
2024-01-04 07:00:00,4.560702,5.95399,127.875046,119.14798,35.6,1001.80475,0.0,16.536215,1.0
2024-01-04 08:00:00,4.967897,6.3126855,139.89915,130.50276,35.7,1001.41046,0.0,15.669406,1.0
